"IDtree","plot","forest_type","sp","heigth","CII","thick","petiol","compound","pubes","LA","SLA","LDMC","dens","pheno","P","C","N","CN","NP","Legum"
"8-4",8,"MIX","Casyl","2.5/3",1,0.156333333333333,2.49666666666667,0,"No",16.2061666666667,192.8251716,348.7103594,0.339540518333333,"evergreen",1.144728785,504,39.037,12.91082819,34.10152738,"no"
"8-40",8,"MIX","Ocver","2.5/3",1.5,0.154666666666667,8.41333333333333,0,"No",41.5740333333333,184.680774566667,382.643780833333,0.351891301,"evergreen",1.394855801,529,29.135,18.15685602,20.88746376,"no"
"8-41",8,"MIX","Casyl","2/2.5",1,0.119666666666667,2.35666666666667,0,"No",21.4072333333333,221.191399066667,339.463852466667,0.379687255666667,"evergreen",1.26223288,485,31.517,15.38852048,24.96924338,"no"
"8-42",8,"MIX","Cafro","2/2.5",1.5,0.177,30.71,0,"No",82.6844,117.490630133333,470.0863827,0.483651861333333,"evergreen",0.420679274,472,27.724,17.02496032,65.90293773,"no"
"8-43",8,"MIX","Cafro","1/1.5",1,0.185333333333333,18.82,0,"No",52.6471333333333,132.892653666667,411.0891662,0.407406376,"evergreen",0.554828214,475,29.868,15.90330789,53.83287877,"no"
"8-44",8,"MIX","Sasap","2.5/3",1.5,0.193333333333333,26.8966666666667,1,"No",269.4486,200.872537666667,236.6306477,0.261871794333333,"evergreen",2.672835242,521,40.315,12.92322957,15.08323423,"no"
"8-46",8,"MIX","Cafro","2.5/3",1.5,0.166333333333333,22.1533333333333,0,"No",71.2936333333333,135.425659833333,440.223499033333,0.444740469333333,"evergreen",0.920540603,483,30.02,16.08927382,32.611272,"no"
"8-47",8,"MIX","Caela","1/1.5",1,0.138333333333333,8.18333333333333,0,"Yes",118.3602,562.2581101,205.191179033333,0.130716966666667,"semideciduous",2.271097557,465,41.246,11.27382049,18.16126298,"no"
"8-48",8,"MIX","Busim","1.5/2",1.5,0.156,85.9,1,"Yes",264.13075,358.63599645,172.71109845,0.1800264885,"deciduous",1.594496718,457,26.679,17.12957757,16.73192531,"no"
"8-5",8,"MIX","Cafro","2/2.5",1,0.172,22.6566666666667,0,"No",60.7867333333333,143.9088319,420.927380933333,0.415609884,"evergreen",0.806060258,497,28.873,17.21331348,35.81990267,"no"
"8-50",8,"MIX","Maarb","2/2.5",1,0.153666666666667,30.4366666666667,0,"Yes",66.5263666666667,431.2852686,180.597569,0.151118395,"evergreen",2.085869953,412,39.215,10.50618386,18.80030917,"no"
"8-51",8,"MIX","Taoch","1.5/2",1,0.0946666666666667,105.486666666667,1,"Yes",124.966466666667,427.422767433333,324.0128335,0.248418916333333,"deciduous",2.688003114,485,44.773,10.83242133,16.65660273,"no"
"8-52",8,"MIX","Caela","1/1.5",1,0.131333333333333,9.55333333333333,0,"Yes",125.695166666667,556.371814133333,207.787446533333,0.142463133,"semideciduous",2.315328965,445,41.459,10.73349574,17.90631078,"no"
